,id,genus,count,percentage
0,1,Cordyline,373,1.004903281426801
1,2,Cupressus,388,1.0453149415377985
2,3,Melaleuca,453,1.2204321353521204
3,4,Ligustrum,518,1.395549329166442
4,5,Eriobotrya,525,1.4144081038849077
5,6,Acer,532,1.433266878603373
6,7,Eucalyptus,619,1.6676545072471578
7,8,Pinus,639,1.7215367207284875
8,9,Ginkgo,708,1.9074303572390754
9,10,Maytenus,766,2.063688776334932
10,11,Ulmus,800,2.1552885392531924
11,12,Corymbia,815,2.19570019936419
12,13,Callistemon,859,2.3142410690231157
13,14,Olea,873,2.351958618460046
14,15,Acacia,1100,2.96352174147314
15,16,Pyrus,1194,3.21676814483539
16,17,Arbutus,1201,3.235626919553855
17,18,Lophostemon,1727,4.652729134112829
18,19,Magnolia,1862,5.016434075111806
19,20,Tristaniopsis,1904,5.129586723422598
20,21,Metrosideros,1939,5.223880597014925
21,22,Pittosporum,2147,5.784255617220755
22,23,Ficus,2216,5.970149253731343
23,24,Platanus,2757,7.427663128401314
24,25,Prunus,2821,7.600086211541571
25,26,San Francisco's Trees,2821,100.0
